disease,symptoms,aliases
epididymitis,groin pain;lower body pain;mass in scrotum;pain in testicles;painful urination;retention of urine;sharp abdominal pain;side pain;swelling of scrotum,
epidural hemorrhage,depressive or psychotic symptoms;dizziness;emotional symptoms,
epilepsy,abnormal involuntary movements;difficulty speaking;disturbance of memory;headache;lack of growth;muscle weakness;seizures,
erectile dysfunction,blood in urine;excessive urination at night;frequent urination;impotence;involuntary urination;loss of sex drive;pain during intercourse;pain in testicles;retention of urine;symptoms of prostate,
erythema multiforme,difficulty in swallowing;fever;mouth ulcer;skin rash;vomiting,
esophageal cancer,decreased appetite;hoarse voice;sharp abdominal pain;shortness of breath;stomach bloating,
esophageal varices,dizziness;nausea,
esophagitis,burning abdominal pain;chest tightness;cough;difficulty in swallowing;heartburn;nausea;sharp abdominal pain;sharp chest pain;shortness of breath;sore throat;upper abdominal pain;vomiting,
essential tremor,abnormal involuntary movements;disturbance of memory;dizziness;hoarse voice;loss of sensation;muscle pain;problems with movement,
eustachian tube dysfunction (ear disorder),abnormal breathing sounds;allergic reaction;diminished hearing;dizziness;ear pain;nasal congestion;plugged feeling in ear;redness in ear;ringing in ear;sore throat;swollen or red tonsils,
extrapyramidal effect of drugs,abnormal involuntary movements;anxiety and nervousness;arm stiffness or tightness;headache;restlessness;seizures,
eye alignment disorder,cross-eyed;diminished vision;double vision;eye deviation;eye moves abnormally;irregular appearing scalp;lack of growth;pain in eye;symptoms of eye,
factitious disorder,depression;depressive or psychotic symptoms;disturbance of memory;elbow weakness,
female genitalia infection,groin pain;skin lesion;skin swelling;vaginal discharge;vaginal pain;vulvar irritation;vulvar sore,
female infertility of unknown cause,infertility;long menstrual periods;pain during intercourse;scanty menstrual flow;unpredictable menstruation,
fetal alcohol syndrome,depressive or psychotic symptoms;emotional symptoms;excessive anger,
fibroadenoma,bleeding or discharge from nipple;bones are painful;hot flashes;lump or mass of breast;pain or soreness of breast;vaginal dryness,
fibrocystic breast disease,bleeding or discharge from nipple;intermenstrual bleeding;lump or mass of breast;pain or soreness of breast,
fibromyalgia,ache all over;arm pain;back pain;headache;hip pain;leg pain;low back pain;muscle pain;neck pain;sharp chest pain,
flat feet,ankle pain;foot or toe pain;knee pain;problems with movement;skin swelling,
floaters,diminished vision;foreign body sensation in eye;lacrimation;spots or clouds in vision;symptoms of eye,
flu,ache all over;chills;coryza;cough;diarrhea;fever;headache;nausea;sore throat;vomiting,
fluid overload,fluid retention;hand or finger swelling;nausea;peripheral edema;sharp abdominal pain;sharp chest pain;shortness of breath;vomiting,
folate deficiency,difficulty breathing;sharp abdominal pain;sharp chest pain;shortness of breath;vomiting blood,
food allergy,abnormal appearing skin;allergic reaction;cough;hand or finger swelling;itching of skin;lip swelling;nasal congestion;skin rash;vomiting,
foreign body in the ear,bleeding from ear;diminished hearing;ear pain;fluid in ear;throat feels tight,
foreign body in the eye,eye burns or stings;eye redness;foreign body sensation in eye;itchiness of eye;lacrimation;pain in eye;symptoms of eye;white discharge from eye,
foreign body in the gastrointestinal tract,difficulty in swallowing;lump in throat;recent weight loss;sharp abdominal pain;vomiting;vomiting blood,
foreign body in the nose,nasal congestion;regurgitation.1,
foreign body in the throat,cough;difficulty in swallowing;infant spitting up;shortness of breath;sore throat;throat swelling;vomiting,
foreign body in the vagina,emotional symptoms;painful urination;vaginal discharge,
fracture of the ankle,ankle pain;ankle swelling;ankle weakness;foot or toe pain;foot or toe swelling;knee weakness;leg pain,
fracture of the arm,arm pain;arm stiffness or tightness;arm swelling;elbow pain;elbow swelling;shoulder pain;shoulder stiffness or tightness;wrist pain;wrist stiffness or tightness;wrist swelling,
fracture of the facial bones,abusing alcohol;double vision;facial pain;headache;lip swelling;pain in eye;peripheral edema;redness in or around nose;swollen eye,
fracture of the finger,foot or toe pain;foot or toe swelling;hand or finger pain;hand or finger stiffness or tightness;hand or finger swelling,
fracture of the foot,ankle pain;ankle swelling;foot or toe pain;foot or toe stiffness or tightness;foot or toe swelling;foot or toe weakness,
fracture of the hand,arm pain;arm stiffness or tightness;hand or finger pain;hand or finger stiffness or tightness;hand or finger swelling;wrist pain;wrist stiffness or tightness;wrist swelling,
fracture of the jaw,bones are painful;facial pain;jaw swelling;mouth pain;pain in eye;peripheral edema,
fracture of the leg,ankle pain;ankle swelling;hip pain;knee pain;knee swelling;knee weakness;leg pain;leg stiffness or tightness;leg swelling;problems with movement,
fracture of the neck,elbow pain;hip pain;leg pain;low back pain;lower body pain,
fracture of the patella,bones are painful;hip pain;knee pain;knee swelling;leg pain;leg weakness,
fracture of the pelvis,ache all over;back pain;difficulty speaking;groin pain;hip pain;knee pain;leg pain,
fracture of the rib,ache all over;back mass or lump;back pain;bones are painful;hip pain;hurts to breath;rib pain;sharp chest pain;shortness of breath;shoulder pain;side pain,
fracture of the shoulder,arm pain;arm stiffness or tightness;bones are painful;neck swelling;shoulder pain;shoulder stiffness or tightness;shoulder swelling,
fracture of the skull,depressive or psychotic symptoms;diminished hearing;drug abuse;headache;vomiting,
fracture of the vertebra,back pain;bones are painful;hand or finger stiffness or tightness;hip pain;leg stiffness or tightness;low back pain;neck pain;pelvic pain,
friedrich ataxia,cough;ear pain;knee lump or mass,
frostbite,elbow weakness;foot or toe pain;sharp chest pain,
fungal infection of the hair,"abnormal appearing skin;acne or pimples;irregular appearing scalp;itching of skin;itchy scalp;pelvic pain;skin dryness, peeling, scaliness, or roughness;skin growth;skin irritation;skin lesion;skin rash;skin swelling",
fungal infection of the skin,"abnormal appearing skin;acne or pimples;irregular appearing scalp;itching of skin;itchy scalp;skin dryness, peeling, scaliness, or roughness;skin lesion;skin rash;skin swelling;too little hair",
g6pd enzyme deficiency,cough;emotional symptoms,
galactorrhea of unknown cause,anxiety and nervousness;bleeding or discharge from nipple;emotional symptoms;pain or soreness of breast,
gallstone,back pain;burning abdominal pain;heartburn;lower body pain;nausea;regurgitation.1;sharp abdominal pain;sharp chest pain;side pain;upper abdominal pain;vomiting,
ganglion cyst,foot or toe pain;hand or finger lump or mass;hand or finger pain;knee lump or mass;knee pain;knee swelling;leg pain;skin growth;wrist lump or mass;wrist swelling,
gas gangrene,sharp abdominal pain;wrist pain,
gastritis,burning abdominal pain;diarrhea;fever;headache;nausea;regurgitation.1;sharp abdominal pain;sharp chest pain;vomiting;vomiting blood,
gastroduodenal ulcer,blood in stool;burning abdominal pain;changes in stool appearance;heartburn;nausea;sharp abdominal pain;sharp chest pain;upper abdominal pain;vomiting;vomiting blood,
gastroesophageal reflux disease (gerd),burning abdominal pain;chest tightness;cough;difficulty in swallowing;hoarse voice;nausea;regurgitation;regurgitation.1;sharp abdominal pain;sharp chest pain,
gastrointestinal hemorrhage,blood in stool;changes in stool appearance;diarrhea;dizziness;fainting;melena;nausea;rectal bleeding;sharp abdominal pain;vomiting;vomiting blood;weakness,
gastroparesis,burning abdominal pain;nausea;regurgitation;regurgitation.1;sharp abdominal pain;sharp chest pain;upper abdominal pain;vomiting,
genital herpes,painful urination;recent pregnancy;skin lesion;skin rash;suprapubic pain;vaginal discharge;vaginal itching,
gestational diabetes,pain during pregnancy;pelvic pressure;problems during pregnancy;uterine contractions;vaginal redness,
glaucoma,diminished vision;eye redness;foreign body sensation in eye;itchiness of eye;itchy eyelid;lacrimation;pain in eye;spots or clouds in vision;symptoms of eye,
glucocorticoid deficiency,diarrhea;lack of growth;shortness of breath,
goiter,difficulty in swallowing;fatigue;hot flashes;lump in throat;weight gain,
gonorrhea,penile discharge;problems with movement;sharp abdominal pain;vaginal discharge;vaginal itching;vaginal pain,
gout,ankle pain;ankle swelling;foot or toe pain;foot or toe swelling;hand or finger pain;hand or finger swelling;joint pain;knee pain;knee swelling;leg swelling;wrist pain;wrist swelling,
granuloma inguinale,knee lump or mass;sharp chest pain,
graves disease,abnormal involuntary movements;dizziness;hemoptysis;involuntary urination;irregular heartbeat;palpitations;sweating,
guillain barre syndrome,difficulty speaking;dizziness;hand or finger pain;leg pain;loss of sensation,
gum disease,bleeding gums;ear pain;facial pain;fever;gum pain;jaw swelling;lip swelling;mouth ulcer;pain in gums;peripheral edema;toothache,
gynecomastia,back pain;bones are painful;lump or mass of breast;neck pain;pain or soreness of breast;problems with shape or size of breast;skin swelling,
hammer toe,foot or toe pain;loss of sensation;skin growth;skin lesion,
hashimoto thyroiditis,abnormal involuntary movements;weight gain,
head and neck cancer,difficulty in swallowing;hemoptysis;hoarse voice;mouth pain;neck mass;plugged feeling in ear;sore throat;throat feels tight,
head injury,back pain;dizziness;double vision;facial pain;fainting;headache;lip swelling;neck pain,
headache after lumbar puncture,dizziness;headache;low back pain;nausea;neck pain;painful urination;vomiting,
heart attack,arm pain;burning chest pain;chest tightness;fainting;heartburn;increased heart rate;irregular heartbeat;nausea;sharp chest pain;shortness of breath;sweating,
heart block,chest tightness;dizziness;fainting;irregular heartbeat;palpitations;peripheral edema;sharp chest pain;shortness of breath;weakness;weight gain,
heart contusion,depression;elbow weakness,
heart failure,chest tightness;cough;difficulty breathing;fluid retention;hurts to breath;leg swelling;palpitations;sharp chest pain;shortness of breath;weakness;weight gain,
heat exhaustion,dizziness;fainting;fluid retention;headache;sharp chest pain;shortness of breath;vomiting;weakness,
heat stroke,dizziness;feeling hot,
hemangioma,"abnormal appearing skin;irregular appearing nails;irregular appearing scalp;lip swelling;lymphedema;skin dryness, peeling, scaliness, or roughness;skin growth;skin lesion;skin moles;skin swelling",
hemarthrosis,elbow weakness;frequent urination;knee pain;knee swelling,
hematoma,ache all over;arm swelling;sharp abdominal pain;skin swelling;swelling of scrotum,
hemiplegia,abnormal involuntary movements;arm stiffness or tightness;difficulty speaking;headache;loss of sensation;problems with movement;seizures;slurring words;weakness,
hemochromatosis,abnormal appearing skin;ache all over;difficulty speaking,
hemolytic anemia,cough;fatigue;nausea;skin growth,
hemophilia,bleeding gums;cough;frontal headache;leg pain,
hemorrhoids,blood in stool;changes in stool appearance;constipation;heartburn;itching of the anus;lower body pain;mass or swelling around the anus;melena;pain of the anus;rectal bleeding;sharp abdominal pain,
hepatic encephalopathy,abusing alcohol;depressive or psychotic symptoms;fainting;fluid retention;sharp abdominal pain;shortness of breath,
hepatitis due to a toxin,depression;feeling ill;itching of skin;jaundice;nausea;rectal bleeding;sharp abdominal pain;vomiting,
herniated disk,arm pain;arm weakness;back pain;hip pain;leg pain;leg weakness;loss of sensation;low back pain;neck pain;paresthesia;shoulder pain,
herpangina,cough;decreased appetite;fever;insomnia;mouth ulcer;skin rash;sore throat;swollen lymph nodes;vomiting,
hiatal hernia,back pain;burning abdominal pain;difficulty in swallowing;dizziness;heartburn;nausea;regurgitation;regurgitation.1;sharp abdominal pain;sharp chest pain;upper abdominal pain;vomiting blood,
hidradenitis suppurativa,arm pain;groin mass;skin growth;skin lesion;skin rash;skin swelling,
high blood pressure,headache;sharp chest pain,
hirschsprung disease,constipation;emotional symptoms;sharp abdominal pain,
hirsutism,abnormal appearing skin;acne or pimples;apnea;unwanted hair,
histoplasmosis,cough;elbow weakness;lacrimation,
hormone disorder,acne or pimples;excessive growth;headache;hot flashes;lack of growth,
hpv,involuntary urination;vaginal itching;warts,
human immunodeficiency virus infection (hiv),drug abuse;fears and phobias;nightmares,
huntington disease,anxiety and nervousness;elbow weakness,
hydatidiform mole,diminished vision;dizziness;pain during pregnancy;sharp abdominal pain;spotting or bleeding during pregnancy,
hydrocele of the testicle,groin mass;groin pain;lower abdominal pain;mass in scrotum;pain in testicles;retention of urine;swelling of scrotum;symptoms of the scrotum and testes,
hydrocephalus,abnormal involuntary movements;depressive or psychotic symptoms;headache;lack of growth;problems with movement;seizures;vomiting,
hydronephrosis,back pain;lower abdominal pain;nausea;pain in testicles;sharp abdominal pain;side pain;suprapubic pain;vomiting,
hypercalcemia,dizziness;loss of sensation;retention of urine;weakness,
hypercholesterolemia,excessive urination at night;hand or finger stiffness or tightness;palpitations;sharp chest pain;weight gain,
hyperemesis gravidarum,burning abdominal pain;diarrhea;dizziness;headache;nausea;pain during pregnancy;problems during pregnancy;sharp abdominal pain;vomiting;vomiting blood;weakness,
hypergammaglobulinemia,blood in stool;fatigue,
hyperhidrosis,acne or pimples;cough;fever;sweating;warts,
hyperkalemia,decreased heart rate;depressive or psychotic symptoms;difficulty in swallowing;dizziness;feeling ill;nausea;sharp chest pain;shortness of breath;vomiting;weakness,
hyperlipidemia,sharp chest pain;smoking problems;weight gain,
hypernatremia,difficulty breathing;fainting;fever;shortness of breath;weakness,
hyperopia,difficulty speaking;diminished vision;eye deviation;eye redness;spots or clouds in vision;symptoms of eye,
hyperosmotic hyperketotic state,cough;frequent urination;weakness,
hypertension of pregnancy,headache;heartburn;pain during pregnancy;problems during pregnancy;spotting or bleeding during pregnancy;uterine contractions,
hypertensive heart disease,chest tightness;difficulty breathing;fatigue;heartburn;insomnia;leg swelling;palpitations;recent pregnancy;sharp chest pain;shortness of breath;weakness,
hypertrophic obstructive cardiomyopathy (hocm),anxiety and nervousness;emotional symptoms;sharp chest pain,
hypocalcemia,abnormal involuntary movements;constipation;leg weakness;sharp chest pain;shortness of breath,
hypoglycemia,abnormal involuntary movements;decreased appetite;depressive or psychotic symptoms;dizziness;fainting;feeling ill;nausea;problems with movement;seizures;sleepiness;sweating;weakness,
hypokalemia,diarrhea;fainting;fever;headache;loss of sensation;nausea;sharp abdominal pain;sharp chest pain;shortness of breath;vomiting,
hyponatremia,back pain;fainting;nausea;seizures;sharp abdominal pain;sharp chest pain;shortness of breath;vomiting;weakness,
hypothermia,depressive or psychotic symptoms;emotional symptoms;fainting;weakness,
hypothyroidism,fatigue;hot flashes;muscle pain;too little hair;weight gain;wrist swelling,
hypovolemia,decreased appetite;diarrhea;dizziness;fainting;feeling ill;fever;nausea;sharp abdominal pain;vomiting,
idiopathic absence of menstruation,absence of menstruation;heartburn;long menstrual periods;lower abdominal pain;nausea;pain or soreness of breast;pelvic pain;sharp abdominal pain;vaginal itching,
idiopathic excessive menstruation,blood clots during menstrual periods;cramps and spasms;frequent menstruation;heavy menstrual flow;intermenstrual bleeding;involuntary urination;long menstrual periods;painful menstruation;sharp abdominal pain;unpredictable menstruation;vaginal discharge,
idiopathic infrequent menstruation,nausea;retention of urine;sharp abdominal pain;unpredictable menstruation,
idiopathic irregular menstrual cycle,cramps and spasms;frequent menstruation;heavy menstrual flow;infertility;intermenstrual bleeding;long menstrual periods;lower abdominal pain;painful menstruation;pelvic pain;sharp abdominal pain;unpredictable menstruation,
idiopathic nonmenstrual bleeding,intermenstrual bleeding;long menstrual periods;painful urination;sharp abdominal pain;unpredictable menstruation;vaginal discharge,
idiopathic painful menstruation,blood clots during menstrual periods;cramps and spasms;heavy menstrual flow;long menstrual periods;lower abdominal pain;painful menstruation;pelvic pain;sharp abdominal pain;unpredictable menstruation;vaginal discharge;vaginal itching,
ileus,burning abdominal pain;constipation;diarrhea;headache;lower abdominal pain;nausea;pain of the anus;sharp abdominal pain;vomiting,
impetigo,abnormal appearing skin;cough;fever;itching of skin;mouth ulcer;nasal congestion;skin lesion;skin rash;skin swelling;sore in nose,
impulse control disorder,anxiety and nervousness;delusions or hallucinations;depression;depressive or psychotic symptoms;excessive anger;excessive appetite;insomnia;temper problems,
indigestion,burning abdominal pain;decreased appetite;diarrhea;heartburn;nausea;sharp abdominal pain;sharp chest pain;stomach bloating;vomiting,
induced abortion,cramps and spasms;groin pain;intermenstrual bleeding;lower abdominal pain;pain during pregnancy;sharp abdominal pain;spotting or bleeding during pregnancy;vaginal discharge,
infection of open wound,abnormal appearing skin;hand or finger swelling;insomnia;leg pain,
infectious gastroenteritis,blood in stool;burning abdominal pain;chills;decreased appetite;diarrhea;fever;flu-like syndrome;fluid retention;headache;nausea;sharp abdominal pain;vomiting,
ingrown toe nail,"abnormal appearing skin;foot or toe pain;foot or toe swelling;irregular appearing nails;neck swelling;skin dryness, peeling, scaliness, or roughness;skin growth;skin on arm or hand looks infected;skin on leg or foot looks infected;swollen eye",
inguinal hernia,ache all over;groin mass;groin pain;lower abdominal pain;mass in scrotum;pain in testicles;sharp abdominal pain;swelling of scrotum;swollen abdomen;symptoms of the scrotum and testes,
injury of the ankle,ankle pain;ankle swelling;foot or toe pain;foot or toe swelling;foot or toe weakness;joint pain;leg pain;wrist swelling,
injury to internal organ,back pain;frequent urination;retention of urine;sharp abdominal pain;sharp chest pain;side pain,
injury to the abdomen,back pain;blood in urine;leg pain;sharp abdominal pain;sharp chest pain,
injury to the arm,arm pain;arm stiffness or tightness;arm swelling;bones are painful;elbow pain;elbow swelling;hand or finger pain;hand or finger swelling;joint pain;loss of sensation;wrist pain;wrist swelling,
injury to the face,bleeding from ear;diminished hearing;ear pain;facial pain;headache;mouth pain;neck pain;neck stiffness or tightness;nosebleed,
injury to the finger,hand or finger pain;hand or finger stiffness or tightness;hand or finger swelling;swelling of scrotum,
injury to the hand,hand or finger pain;hand or finger stiffness or tightness;hand or finger swelling;joint pain;skin growth;wrist pain;wrist swelling,
injury to the hip,hand or finger swelling;hip pain;leg pain;neck pain,
injury to the knee,foot or toe swelling;knee pain;knee weakness;leg pain;problems with movement,
injury to the leg,ankle pain;ankle swelling;foot or toe pain;foot or toe swelling;infant feeding problem;irregular appearing nails;knee pain;knee stiffness or tightness;knee swelling;leg pain;leg swelling;problems with movement,
injury to the shoulder,"arm pain;arm stiffness or tightness;back pain;bones are painful;elbow pain;muscle cramps, contractures, or spasms;neck pain;shoulder pain;shoulder stiffness or tightness",
injury to the spinal cord,back pain;headache;neck pain;retention of urine,
injury to the trunk,back pain;bones are painful;headache;low back pain;lower body pain;neck pain;rib pain;sharp chest pain;shoulder pain;symptoms of the scrotum and testes;wrist pain,
insect bite,abnormal appearing skin;fluid retention;hand or finger swelling;itching of skin;leg swelling;lip swelling;peripheral edema;skin lesion;skin rash;skin swelling,
insulin overdose,depressive or psychotic symptoms;emotional symptoms,
interstitial lung disease,abnormal breathing sounds;cough;fever;headache;nasal congestion;shortness of breath;sleepiness;sore throat;wheezing,
intertrigo (skin condition),"abnormal appearing skin;acne or pimples;skin dryness, peeling, scaliness, or roughness;skin lesion;skin rash;skin swelling",
intestinal cancer,diarrhea;foot or toe swelling;neck mass;sharp abdominal pain;throat feels tight,
intestinal disease,burning abdominal pain;diarrhea;fainting;nausea;regurgitation;regurgitation.1;sharp abdominal pain;sharp chest pain;vomiting,
intestinal malabsorption,allergic reaction;cough;diarrhea;flatulence;nasal congestion;sharp abdominal pain;vomiting,
intestinal obstruction,burning abdominal pain;constipation;nausea;pain of the anus;retention of urine;sharp abdominal pain;stomach bloating;vaginal itching;vomiting,
intracerebral hemorrhage,blindness;depressive or psychotic symptoms;diminished vision;dizziness;focal weakness;headache;nausea;seizures;vomiting;weakness,
intracranial abscess,depressive or psychotic symptoms;headache;seizures,
intracranial hemorrhage,abnormal involuntary movements;depressive or psychotic symptoms;difficulty speaking;diminished vision;dizziness;headache;seizures;vomiting,
intussusception,blood in stool;emotional symptoms;sharp abdominal pain,
iridocyclitis,cloudy eye;diminished vision;eye burns or stings;eye redness;foreign body sensation in eye;headache;lacrimation;pain in eye;symptoms of eye,
iron deficiency anemia,blood in stool;dizziness;fatigue;heartburn;heavy menstrual flow;intermenstrual bleeding;rectal bleeding;regurgitation;regurgitation.1;weakness;weight gain,
irritable bowel syndrome,anxiety and nervousness;burning abdominal pain;diarrhea;flatulence;insomnia;lower abdominal pain;nausea;sharp abdominal pain;upper abdominal pain,
ischemia of the bowel,blood in stool;burning abdominal pain;constipation;nausea;retention of urine;sharp abdominal pain;vomiting,
ischemic heart disease,chest tightness;difficulty breathing;dizziness;fatigue;lymphedema;muscle pain;palpitations;peripheral edema;sharp chest pain;shortness of breath;throat feels tight,
itching of unknown cause,"abnormal appearing skin;allergic reaction;fluid retention;itching of skin;itchy scalp;problems during pregnancy;skin dryness, peeling, scaliness, or roughness;skin rash;vaginal itching",
jaw disorder,difficulty in swallowing;facial pain;headache;jaw swelling;mouth pain;neck mass;peripheral edema;toothache,
joint effusion,ankle pain;ankle swelling;elbow pain;knee pain;knee stiffness or tightness;knee swelling;problems with movement;wrist pain;wrist swelling,
juvenile rheumatoid arthritis,back pain;hand or finger pain;joint pain;knee pain;wrist swelling,
kaposi sarcoma,depression;elbow weakness,
kidney cancer,blood in urine;groin mass;involuntary urination;kidney mass;retention of urine,
kidney disease due to longstanding hypertension,difficulty speaking;feeling cold;shortness of breath;symptoms of the kidneys,
kidney failure,arm swelling;leg swelling;nausea;sharp chest pain;shortness of breath;swollen abdomen;symptoms of the kidneys;vomiting,
kidney stone,back pain;blood in urine;frequent urination;low back pain;lower abdominal pain;painful urination;retention of urine;sharp abdominal pain;side pain;suprapubic pain;vomiting,
knee ligament or meniscus tear,knee lump or mass;knee pain;knee stiffness or tightness;knee swelling;knee weakness;leg stiffness or tightness;leg weakness,
labyrinthitis,diminished hearing;dizziness;ear pain;headache;loss of sensation;nausea;plugged feeling in ear;spots or clouds in vision;sweating;vomiting,
lactose intolerance,burning abdominal pain;diarrhea;flatulence;impotence;nasal congestion;shortness of breath,
laryngitis,coryza;cough;difficulty in swallowing;difficulty speaking;ear pain;fever;hoarse voice;nasal congestion;sore throat;throat feels tight,
lateral epicondylitis (tennis elbow),arm pain;elbow pain;hand or finger pain;hand or finger stiffness or tightness;joint pain;loss of sensation;shoulder pain;wrist pain,
leukemia,fatigue;fever;mouth pain;muscle stiffness or tightness,
lewy body dementia,abnormal involuntary movements;delusions or hallucinations;depressive or psychotic symptoms;disturbance of memory;hostile behavior,
lice,cough;itching of skin;itchy scalp;leg lump or mass;nasal congestion,
lichen planus,abnormal appearing skin;difficulty speaking;skin growth,
lichen simplex,difficulty speaking;itching of skin;skin lesion;skin rash;vaginal itching,
lipoma,abnormal appearing skin;arm lump or mass;back mass or lump;bones are painful;groin mass;neck mass;shoulder lump or mass;skin growth;skin lesion;skin swelling,
liver cancer,decreased appetite;groin mass;sharp abdominal pain;stomach bloating;upper abdominal pain,
liver disease,blood in stool;diarrhea;heartburn;jaundice;nausea;peripheral edema;sharp abdominal pain;shortness of breath;side pain;unusual color or odor to urine;upper abdominal pain;weakness,
lumbago,back pain;hip pain;leg pain;low back cramps or spasms;low back pain;muscle pain;side pain,
lung cancer,cough;decreased appetite;fatigue;hemoptysis;leg weakness;shortness of breath;smoking problems,
lung contusion,ache all over;back pain;sharp chest pain;shortness of breath,
lyme disease,abnormal appearing skin;depressive or psychotic symptoms;fatigue;fever;headache;hip pain;symptoms of the face,
lymphadenitis,cough;ear pain;fever;neck mass;neck pain;neck swelling;sharp abdominal pain;skin swelling;sore throat,
lymphangitis,arm pain;neck swelling,
lymphedema,abnormal appearing skin;fluid retention;foot or toe swelling;leg pain;leg swelling;lymphedema;peripheral edema;skin lesion;throat swelling,
lymphogranuloma venereum,ear pain;knee lump or mass;sore throat,
lymphoma,fatigue;groin mass;hoarse voice;itchy ear(s);neck mass;regurgitation;regurgitation.1,
macular degeneration,abnormal movement of eyelid;bleeding from eye;blindness;diminished vision;double vision;foreign body sensation in eye;itchiness of eye;lacrimation;pain in eye;spots or clouds in vision;symptoms of eye,
magnesium deficiency,dizziness;leg pain;sharp chest pain;shortness of breath,
malaria,fainting;fever;headache;knee lump or mass,
male genitalia infection,abnormal appearing skin;bumps on penis;irritable infant;mass in scrotum;pain in testicles;swelling of scrotum,
malignant hypertension,depressive or psychotic symptoms;headache;insomnia;lower body pain;sharp chest pain;shortness of breath;vomiting,
marijuana abuse,abusing alcohol;anxiety and nervousness;delusions or hallucinations;depression;depressive or psychotic symptoms;difficulty speaking;drug abuse;excessive anger;fears and phobias;hostile behavior;low self-esteem;temper problems,
mastectomy,arm stiffness or tightness;pain or soreness of breast;skin swelling,
mastoiditis,cough;diminished hearing;dizziness;ear pain;facial pain;nasal congestion,
meckel diverticulum,knee lump or mass;lower abdominal pain,
melanoma,abnormal appearing skin;irregular appearing scalp;itchy eyelid;skin growth;skin lesion;skin moles;skin swelling;swollen lymph nodes,
meniere disease,allergic reaction;diminished hearing;dizziness;ear pain;facial pain;headache;nausea;ringing in ear,
meningioma,depressive or psychotic symptoms;disturbance of memory;dizziness;headache;weakness,
meningitis,ache all over;cough;fever;headache;nausea;neck pain;neck stiffness or tightness;vomiting,
menopause,absence of menstruation;hot flashes;involuntary urination;sweating;unpredictable menstruation;vaginal itching,
metabolic disorder,arm stiffness or tightness;jaundice;smoking problems;weight gain,
metastatic cancer,decreased appetite;fatigue;focal weakness;neck mass;vaginal dryness,
migraine,blindness;diminished vision;disturbance of memory;dizziness;headache;nausea;spots or clouds in vision;symptoms of the face;vomiting,
missed abortion,blood clots during menstrual periods;blood in stool;cramps and spasms;intermenstrual bleeding;lower abdominal pain;pain during pregnancy;problems during pregnancy;sharp abdominal pain;spotting or bleeding during pregnancy,
mitral valve disease,chest tightness;dizziness;fatigue;increased heart rate;irregular heartbeat;nightmares;sharp chest pain;shortness of breath;sweating,
mittelschmerz,diarrhea;lower abdominal pain;painful menstruation;pelvic pain;sharp abdominal pain;vomiting,
molluscum contagiosum,"abnormal appearing skin;acne or pimples;itching of skin;knee lump or mass;skin dryness, peeling, scaliness, or roughness;skin lesion;skin rash;skin swelling;warts",
mononeuritis,ankle pain;arm pain;elbow pain;foot or toe pain;hand or finger pain;hand or finger weakness;leg pain;loss of sensation;shoulder pain;wrist pain,
mononucleosis,cough;feeling ill;fever;headache;nasal congestion;skin rash;sore throat;swollen lymph nodes,
moyamoya disease,depressive or psychotic symptoms;elbow weakness,
mucositis,decreased appetite;difficulty in swallowing;fever;irritable infant;mouth pain;mouth ulcer;sore throat;tongue lesions,
multiple myeloma,disturbance of memory;fatigue;lip swelling;problems with movement;weakness,
multiple sclerosis,abnormal involuntary movements;disturbance of memory;dizziness;fatigue;focal weakness;headache;leg weakness;loss of sensation;paresthesia;problems with movement;weakness,
mumps,ear pain;shoulder swelling;sore throat;swollen lymph nodes,
muscle spasm,"abnormal involuntary movements;arm pain;back pain;headache;leg pain;loss of sensation;low back pain;muscle cramps, contractures, or spasms;neck pain;sharp chest pain",
muscular dystrophy,cough;fatigue;feeling cold;hip pain;nasal congestion,
myasthenia gravis,coughing up sputum;dizziness;double vision;fatigue;shortness of breath;slurring words;weakness,
myelodysplastic syndrome,chills;difficulty speaking;fatigue,
myocarditis,dizziness;palpitations;sharp chest pain,
myoclonus,abnormal involuntary movements;insomnia;muscle swelling;seizures,
myopia,blindness;diminished vision;eye deviation;eye moves abnormally;eye redness;foreign body sensation in eye;pain in eye;spots or clouds in vision;symptoms of eye,
myositis,headache;hip pain;knee pain;leg pain;loss of sensation;problems with movement,
narcolepsy,apnea;disturbance of memory;fatigue;headache;insomnia;shortness of breath;sleepiness,
nasal polyp,allergic reaction;cough;facial pain;frontal headache;headache;hoarse voice;nasal congestion;painful sinuses,
necrotizing fasciitis,elbow weakness;hip pain;leg pain,
neonatal jaundice,changes in stool appearance;infant feeding problem;irritable infant;jaundice;lack of growth,
nerve impingement near the shoulder,arm pain;elbow pain;hand or finger stiffness or tightness;neck pain;problems with movement;shoulder pain;shoulder stiffness or tightness;shoulder weakness,
neuralgia,ache all over;arm pain;back pain;headache;hip pain;leg pain;loss of sensation;low back pain;neck pain;shoulder pain,
neurofibromatosis,abnormal appearing skin;abnormal involuntary movements;groin mass;headache,
neuropathy due to drugs,cough;foot or toe pain;loss of sensation;problems with movement;vomiting,
neurosis,anxiety and nervousness;delusions or hallucinations;depression;depressive or psychotic symptoms;drug abuse;excessive anger;headache;hostile behavior;insomnia;obsessions and compulsions;smoking problems,
nonalcoholic liver disease (nash),dizziness;mouth ulcer;nausea;sharp abdominal pain;weight gain,
